Census Block Group,Geographic Area Name,Population,Deaths,Mortality Rate (Deaths/100000)
"480019507001","Block Group 1, Census Tract 9507, Anderson County, Texas",905,5,552.48618784530379
"480019508002","Block Group 2, Census Tract 9508, Anderson County, Texas",1288,5,388.19875776397515
"480019508004","Block Group 4, Census Tract 9508, Anderson County, Texas",822,5,608.272506082725
"480019509013","Block Group 3, Census Tract 9509.01, Anderson County, Texas",613,5,815.66068515497545
"480019510021","Block Group 1, Census Tract 9510.02, Anderson County, Texas",780,5,641.025641025641
"480019510023","Block Group 3, Census Tract 9510.02, Anderson County, Texas",644,5,776.3975155279503
"480019510024","Block Group 4, Census Tract 9510.02, Anderson County, Texas",739,5,676.58998646820032
"480019511002","Block Group 2, Census Tract 9511, Anderson County, Texas",817,5,611.9951040391677
"480039502003","Block Group 3, Census Tract 9502, Andrews County, Texas",2011,5,248.6325211337643
"480039502004","Block Group 4, Census Tract 9502, Andrews County, Texas",910,5,549.45054945054949
"480039502005","Block Group 5, Census Tract 9502, Andrews County, Texas",1105,5,452.48868778280547
"480039503003","Block Group 3, Census Tract 9503, Andrews County, Texas",696,5,718.39080459770116
"480050002012","Block Group 2, Census Tract 2.01, Angelina County, Texas",575,5,869.56521739130437
"480050003023","Block Group 3, Census Tract 3.02, Angelina County, Texas",958,5,521.92066805845513
"480050007001","Block Group 1, Census Tract 7, Angelina County, Texas",1154,5,433.27556325823224
"480050009021","Block Group 1, Census Tract 9.02, Angelina County, Texas",992,5,504.0322580645161
"480050009023","Block Group 3, Census Tract 9.02, Angelina County, Texas",824,5,606.79611650485435
"480050010013","Block Group 3, Census Tract 10.01, Angelina County, Texas",1093,5,457.45654162854532
"480050011023","Block Group 3, Census Tract 11.02, Angelina County, Texas",599,5,834.72454090150245
"480050012001","Block Group 1, Census Tract 12, Angelina County, Texas",477,5,1048.2180293501049
"480050012002","Block Group 2, Census Tract 12, Angelina County, Texas",886,5,564.33408577878106
"480050012003","Block Group 3, Census Tract 12, Angelina County, Texas",359,5,1392.7576601671308
"480050012004","Block Group 4, Census Tract 12, Angelina County, Texas",551,5,907.44101633393836
"480050012005","Block Group 5, Census Tract 12, Angelina County, Texas",321,5,1557.632398753894
"480050013003","Block Group 3, Census Tract 13, Angelina County, Texas",725,5,689.65517241379314
"480079501011","Block Group 1, Census Tract 9501.01, Aransas County, Texas",436,5,1146.7889908256882
"480079501031","Block Group 1, Census Tract 9501.03, Aransas County, Texas",469,5,1066.0980810234541
"480079502002","Block Group 2, Census Tract 9502, Aransas County, Texas",250,5,2000
"480079505022","Block Group 2, Census Tract 9505.02, Aransas County, Texas",701,5,713.26676176890157
"480079505032","Block Group 2, Census Tract 9505.03, Aransas County, Texas",481,5,1039.5010395010395
"480090201001","Block Group 1, Census Tract 201, Archer County, Texas",1567,5,319.08104658583284
"480090202003","Block Group 3, Census Tract 202, Archer County, Texas",776,5,644.32989690721649
"480090203002","Block Group 2, Census Tract 203, Archer County, Texas",679,5,736.37702503681885
"480090203003","Block Group 3, Census Tract 203, Archer County, Texas",632,5,791.1392405063292
"480090203004","Block Group 4, Census Tract 203, Archer County, Texas",634,5,788.64353312302831
"480119501001","Block Group 1, Census Tract 9501, Armstrong County, Texas",542,5,922.509225092251
"480139604012","Block Group 2, Census Tract 9604.01, Atascosa County, Texas",584,5,856.16438356164383
"480157601001","Block Group 1, Census Tract 7601, Austin County, Texas",1423,5,351.37034434293741
"480157601002","Block Group 2, Census Tract 7601, Austin County, Texas",1041,5,480.30739673390974
"480157605023","Block Group 3, Census Tract 7605.02, Austin County, Texas",1227,5,407.49796251018739
"480179501011","Block Group 1, Census Tract 9501.01, Bailey County, Texas",886,5,564.33408577878106
"480179501013","Block Group 3, Census Tract 9501.01, Bailey County, Texas",1139,5,438.98156277436351
"480179501021","Block Group 1, Census Tract 9501.02, Bailey County, Texas",1323,5,377.92894935752082
"480179501022","Block Group 2, Census Tract 9501.02, Bailey County, Texas",827,5,604.59492140266025
"480179501023","Block Group 3, Census Tract 9501.02, Bailey County, Texas",752,5,664.89361702127655
"480190001034","Block Group 4, Census Tract 1.03, Bandera County, Texas",613,5,815.66068515497545
"480190002001","Block Group 1, Census Tract 2, Bandera County, Texas",504,5,992.063492063492
"480190002003","Block Group 3, Census Tract 2, Bandera County, Texas",421,5,1187.648456057007
