Period,Hour_ID,District,Hourly_Fraction
Overnight,20,Austin,0.048973
Overnight,20,Beaumont,0.043167
Overnight,20,Bryan,0.046853
Overnight,20,Corpus Christi,0.044823
Overnight,20,Dallas,0.048873
Overnight,20,El Paso,0.048417
Overnight,20,Fort Worth,0.045633
Overnight,20,Houston,0.047264
Overnight,20,San Antonio,0.047353
Overnight,20,Waco,0.044963
Overnight,21,Austin,0.038935
Overnight,21,Beaumont,0.0336
Overnight,21,Bryan,0.037487
Overnight,21,Corpus Christi,0.034654
Overnight,21,Dallas,0.038436
Overnight,21,El Paso,0.038448
Overnight,21,Fort Worth,0.034931
Overnight,21,Houston,0.035618
Overnight,21,San Antonio,0.037329
Overnight,21,Waco,0.037499
Overnight,22,Austin,0.03294
Overnight,22,Beaumont,0.026357
Overnight,22,Bryan,0.029748
Overnight,22,Corpus Christi,0.027465
Overnight,22,Dallas,0.032385
Overnight,22,El Paso,0.031493
Overnight,22,Fort Worth,0.028675
Overnight,22,Houston,0.029616
Overnight,22,San Antonio,0.030908
Overnight,22,Waco,0.030495
Overnight,23,Austin,0.025637
Overnight,23,Beaumont,0.019066
Overnight,23,Bryan,0.021534
Overnight,23,Corpus Christi,0.020524
Overnight,23,Dallas,0.025816
Overnight,23,El Paso,0.024476
Overnight,23,Fort Worth,0.021995
Overnight,23,Houston,0.022901
Overnight,23,San Antonio,0.023465
Overnight,23,Waco,0.023719
Overnight,24,Austin,0.018156
Overnight,24,Beaumont,0.013212
Overnight,24,Bryan,0.014508
Overnight,24,Corpus Christi,0.014257
Overnight,24,Dallas,0.01824
Overnight,24,El Paso,0.01736
Overnight,24,Fort Worth,0.01527
Overnight,24,Houston,0.015418
Overnight,24,San Antonio,0.016248
Overnight,24,Waco,0.017325
Overnight,1,Austin,0.011267
Overnight,1,Beaumont,0.008315
Overnight,1,Bryan,0.008945
Overnight,1,Corpus Christi,0.008517
Overnight,1,Dallas,0.010561
Overnight,1,El Paso,0.010308
Overnight,1,Fort Worth,0.009061
Overnight,1,Houston,0.008613
Overnight,1,San Antonio,0.009536
Overnight,1,Waco,0.012126
Overnight,2,Austin,0.008068
Overnight,2,Beaumont,0.006172
Overnight,2,Bryan,0.006793
Overnight,2,Corpus Christi,0.005925
Overnight,2,Dallas,0.007211
Overnight,2,El Paso,0.007044
Overnight,2,Fort Worth,0.006148
Overnight,2,Houston,0.005697
Overnight,2,San Antonio,0.006607
Overnight,2,Waco,0.009916
Overnight,3,Austin,0.007243
Overnight,3,Beaumont,0.005793
Overnight,3,Bryan,0.006319
Overnight,3,Corpus Christi,0.00519
Overnight,3,Dallas,0.00658
Overnight,3,El Paso,0.00587
Overnight,3,Fort Worth,0.005492
Overnight,3,Houston,0.005288
Overnight,3,San Antonio,0.005833
Overnight,3,Waco,0.00907
Overnight,4,Austin,0.006865
Overnight,4,Beaumont,0.008072
Overnight,4,Bryan,0.007107
Overnight,4,Corpus Christi,0.00553
Overnight,4,Dallas,0.00717
Overnight,4,El Paso,0.00595
Overnight,4,Fort Worth,0.006318
Overnight,4,Houston,0.00622
Overnight,4,San Antonio,0.006488
Overnight,4,Waco,0.009692
Overnight,5,Austin,0.010241
Overnight,5,Beaumont,0.01777
Overnight,5,Bryan,0.010453
Overnight,5,Corpus Christi,0.010324
Overnight,5,Dallas,0.012384
Overnight,5,El Paso,0.008419
Overnight,5,Fort Worth,0.011651
Overnight,5,Houston,0.013683
Overnight,5,San Antonio,0.010719
Overnight,5,Waco,0.013129
Overnight,6,Austin,0.025904
Overnight,6,Beaumont,0.036906
Overnight,6,Bryan,0.018251
Overnight,6,Corpus Christi,0.026007
Overnight,6,Dallas,0.031265
Overnight,6,El Paso,0.018473
Overnight,6,Fort Worth,0.029481
Overnight,6,Houston,0.039608
Overnight,6,San Antonio,0.027475
Overnight,6,Waco,0.022677
Mid-Day,10,Austin,0.054842
Mid-Day,10,Beaumont,0.049551
Mid-Day,10,Bryan,0.050814
Mid-Day,10,Corpus Christi,0.051133
