Census Tract,Geographic Area Name,Population,Deaths,Mortality Rate (Deaths/100000)
"48027021602","Census Tract 216.02, Bell County, Texas",2653,5,188.46588767433096
"48027023202","Census Tract 232.02, Bell County, Texas",4915,5,101.7293997965412
"48027023203","Census Tract 232.03, Bell County, Texas",2607,5,191.79133103183736
"48027023204","Census Tract 232.04, Bell County, Texas",3731,5,134.01232913428035
"48029131612","Census Tract 1316.12, Bexar County, Texas",2306,5,216.82567215958369
"48029161400","Census Tract 1614, Bexar County, Texas",9755,5,51.255766273705788
"48029171926","Census Tract 1719.26, Bexar County, Texas",3243,5,154.17823003391922
"48029980100","Census Tract 9801, Bexar County, Texas",1083,5,461.68051708217916
"48033950100","Census Tract 9501, Borden County, Texas",631,5,792.3930269413629
"48041001001","Census Tract 10.01, Brazos County, Texas",3849,5,129.90387113535985
"48041001301","Census Tract 13.01, Brazos County, Texas",2255,5,221.72949002217294
"48041001303","Census Tract 13.03, Brazos County, Texas",4896,5,102.12418300653596
"48041001606","Census Tract 16.06, Brazos County, Texas",2562,5,195.160031225605
"48041001607","Census Tract 16.07, Brazos County, Texas",1659,5,301.38637733574444
"48041001608","Census Tract 16.08, Brazos County, Texas",2653,5,188.46588767433096
"48041001703","Census Tract 17.03, Brazos County, Texas",3422,5,146.11338398597312
"48041001704","Census Tract 17.04, Brazos County, Texas",1917,5,260.82420448617631
"48041001804","Census Tract 18.04, Brazos County, Texas",1314,5,380.517503805175
"48041002014","Census Tract 20.14, Brazos County, Texas",4381,5,114.12919424788862
"48041002017","Census Tract 20.17, Brazos County, Texas",6543,5,76.417545468439556
"48041002020","Census Tract 20.20, Brazos County, Texas",2673,5,187.05574261129817
"48041002023","Census Tract 20.23, Brazos County, Texas",2448,5,204.24836601307192
"48041002024","Census Tract 20.24, Brazos County, Texas",3793,5,131.8217769575534
"48041002100","Census Tract 21, Brazos County, Texas",15243,5,32.801941874959
"48069950100","Census Tract 9501, Castro County, Texas",1088,5,459.55882352941177
"48071710600","Census Tract 7106, Chambers County, Texas",0,5,∞
"48075950100","Census Tract 9501, Childress County, Texas",2017,5,247.89291026276649
"48085030506","Census Tract 305.06, Collin County, Texas",4543,5,110.05943209333039
"48085030507","Census Tract 305.07, Collin County, Texas",1810,5,276.24309392265189
"48085030509","Census Tract 305.09, Collin County, Texas",2507,5,199.44156362185879
"48085030540","Census Tract 305.40, Collin County, Texas",4154,5,120.3659123736158
"48085031332","Census Tract 313.32, Collin County, Texas",5218,5,95.822154082023758
"48085031334","Census Tract 313.34, Collin County, Texas",2877,5,173.79214459506431
"48085031423","Census Tract 314.23, Collin County, Texas",2899,5,172.47326664367023
"48085031661","Census Tract 316.61, Collin County, Texas",3695,5,135.31799729364008
"48085031669","Census Tract 316.69, Collin County, Texas",2624,5,190.54878048780486
"48085031670","Census Tract 316.70, Collin County, Texas",1428,5,350.140056022409
"48085031671","Census Tract 316.71, Collin County, Texas",2528,5,197.7848101265823
"48085031672","Census Tract 316.72, Collin County, Texas",2263,5,220.9456473707468
"48085031679","Census Tract 316.79, Collin County, Texas",2883,5,173.43045438779052
"48085031680","Census Tract 316.80, Collin County, Texas",3828,5,130.61650992685475
"48085031717","Census Tract 317.17, Collin County, Texas",2037,5,245.45900834560629
"48085031722","Census Tract 317.22, Collin County, Texas",2994,5,167.00066800267203
"48085031723","Census Tract 317.23, Collin County, Texas",3777,5,132.38019592268995
"48085031724","Census Tract 317.24, Collin County, Texas",3004,5,166.44474034620507
"48085031806","Census Tract 318.06, Collin County, Texas",2454,5,203.7489812550937
"48085031809","Census Tract 318.09, Collin County, Texas",1970,5,253.80710659898475
"48085031810","Census Tract 318.10, Collin County, Texas",1854,5,269.6871628910464
"48085031813","Census Tract 318.13, Collin County, Texas",5232,5,95.565749235474
"48085031903","Census Tract 319.03, Collin County, Texas",1280,5,390.625
"48085031904","Census Tract 319.04, Collin County, Texas",3300,5,151.5151515151515
"48099010501","Census Tract 105.01, Coryell County, Texas",4082,5,122.4889759921607
"48099010502","Census Tract 105.02, Coryell County, Texas",4400,5,113.63636363636363
"48099010503","Census Tract 105.03, Coryell County, Texas",4527,5,110.4484205875856
"48099980000","Census Tract 9800, Coryell County, Texas",35,5,14285.714285714284
"48111950100","Census Tract 9501, Dallam County, Texas",1465,5,341.29692832764505
"48113000409","Census Tract 4.09, Dallas County, Texas",3919,5,127.58356723653993
"48113000501","Census Tract 5.01, Dallas County, Texas",1950,5,256.41025641025641
"48113000503","Census Tract 5.03, Dallas County, Texas",2752,5,181.68604651162789
"48113000607","Census Tract 6.07, Dallas County, Texas",2144,5,233.20895522388057
"48113000608","Census Tract 6.08, Dallas County, Texas",2177,5,229.67386311437758
"48113000609","Census Tract 6.09, Dallas County, Texas",1878,5,266.24068157614482
"48113000703","Census Tract 7.03, Dallas County, Texas",3117,5,160.41065126724416
"48113000704","Census Tract 7.04, Dallas County, Texas",2971,5,168.29350387075058
"48113000705","Census Tract 7.05, Dallas County, Texas",1848,5,270.56277056277054
"48113000901","Census Tract 9.01, Dallas County, Texas",2591,5,192.975685063682
"48113001001","Census Tract 10.01, Dallas County, Texas",1910,5,261.78010471204192
"48113001002","Census Tract 10.02, Dallas County, Texas",2116,5,236.29489603024575
"48113001102","Census Tract 11.02, Dallas County, Texas",2405,5,207.9002079002079
"48113001203","Census Tract 12.03, Dallas County, Texas",1370,5,364.963503649635
"48113001602","Census Tract 16.02, Dallas County, Texas",2446,5,204.4153720359771
"48113001703","Census Tract 17.03, Dallas County, Texas",4555,5,109.76948408342481
"48113001705","Census Tract 17.05, Dallas County, Texas",3113,5,160.61676839062
"48113001801","Census Tract 18.01, Dallas County, Texas",2763,5,180.96272167933404
"48113001802","Census Tract 18.02, Dallas County, Texas",3390,5,147.49262536873155
"48113001902","Census Tract 19.02, Dallas County, Texas",5978,5,83.640013382402131
"48113002100","Census Tract 21, Dallas County, Texas",2720,5,183.8235294117647
"48113003102","Census Tract 31.02, Dallas County, Texas",1286,5,388.80248833592537
"48113003103","Census Tract 31.03, Dallas County, Texas",2508,5,199.36204146730461
"48113007206","Census Tract 72.06, Dallas County, Texas",2325,5,215.05376344086022
"48113007826","Census Tract 78.26, Dallas County, Texas",1698,5,294.46407538280329
"48113007830","Census Tract 78.30, Dallas County, Texas",2153,5,232.23409196470044
"48113007832","Census Tract 78.32, Dallas County, Texas",2677,5,186.77624206200971
"48113007910","Census Tract 79.10, Dallas County, Texas",2953,5,169.31933626820182
"48113007912","Census Tract 79.12, Dallas County, Texas",2112,5,236.74242424242425
"48113007914","Census Tract 79.14, Dallas County, Texas",3499,5,142.89797084881394
"48113007915","Census Tract 79.15, Dallas County, Texas",2048,5,244.140625
"48113007916","Census Tract 79.16, Dallas County, Texas",1244,5,401.92926045016077
"48113009610","Census Tract 96.10, Dallas County, Texas",4623,5,108.1548777849881
"48113010003","Census Tract 100.03, Dallas County, Texas",3254,5,153.65703749231713
"48113013300","Census Tract 133, Dallas County, Texas",2064,5,242.24806201550388
"48113013625","Census Tract 136.25, Dallas County, Texas",2860,5,174.82517482517483
"48113013626","Census Tract 136.26, Dallas County, Texas",3003,5,166.5001665001665
"48113013627","Census Tract 136.27, Dallas County, Texas",1585,5,315.45741324921136
"48113013629","Census Tract 136.29, Dallas County, Texas",2217,5,225.52999548940008
"48113013630","Census Tract 136.30, Dallas County, Texas",2154,5,232.12627669452181
"48113013631","Census Tract 136.31, Dallas County, Texas",2097,5,238.43586075345729
"48113014128","Census Tract 141.28, Dallas County, Texas",4257,5,117.45360582569886
"48113014132","Census Tract 141.32, Dallas County, Texas",2628,5,190.25875190258751
"48113014138","Census Tract 141.38, Dallas County, Texas",4621,5,108.20168794633196
"48113014140","Census Tract 141.40, Dallas County, Texas",2329,5,214.68441391155002
"48113014141","Census Tract 141.41, Dallas County, Texas",2144,5,233.20895522388057
"48113014142","Census Tract 141.42, Dallas County, Texas",2320,5,215.51724137931035
"48113014145","Census Tract 141.45, Dallas County, Texas",1424,5,351.12359550561797
"48113014146","Census Tract 141.46, Dallas County, Texas",2257,5,221.5330084182543
"48113014147","Census Tract 141.47, Dallas County, Texas",2105,5,237.52969121140143
"48113014148","Census Tract 141.48, Dallas County, Texas",3367,5,148.5001485001485
"48113014150","Census Tract 141.50, Dallas County, Texas",1676,5,298.32935560859187
"48113014151","Census Tract 141.51, Dallas County, Texas",4424,5,113.01989150090417
"48113014152","Census Tract 141.52, Dallas County, Texas",3369,5,148.41199168892845
"48113014155","Census Tract 141.55, Dallas County, Texas",5437,5,91.962479308442155
"48113014156","Census Tract 141.56, Dallas County, Texas",4158,5,120.25012025012026
"48113014157","Census Tract 141.57, Dallas County, Texas",1914,5,261.23301985370949
"48113014158","Census Tract 141.58, Dallas County, Texas",3090,5,161.81229773462783
"48113014159","Census Tract 141.59, Dallas County, Texas",3014,5,165.89250165892503
"48113014161","Census Tract 141.61, Dallas County, Texas",3122,5,160.15374759769378
"48113014207","Census Tract 142.07, Dallas County, Texas",2656,5,188.25301204819277
"48113014209","Census Tract 142.09, Dallas County, Texas",4047,5,123.54830738818879
"48113014317","Census Tract 143.17, Dallas County, Texas",1647,5,303.58227079538551
"48113014319","Census Tract 143.19, Dallas County, Texas",2664,5,187.68768768768768
"48113014320","Census Tract 143.20, Dallas County, Texas",2747,5,182.01674554058974
"48113014409","Census Tract 144.09, Dallas County, Texas",2396,5,208.68113522537561
"48113016627","Census Tract 166.27, Dallas County, Texas",1657,5,301.75015087507541
"48113018403","Census Tract 184.03, Dallas County, Texas",1047,5,477.55491881566383
"48113018506","Census Tract 185.06, Dallas County, Texas",2771,5,180.4402742692169
"48113018508","Census Tract 185.08, Dallas County, Texas",1429,5,349.89503149055287
"48113019052","Census Tract 190.52, Dallas County, Texas",1102,5,453.72050816696918
"48113019053","Census Tract 190.53, Dallas County, Texas",1657,5,301.75015087507541
"48113019101","Census Tract 191.01, Dallas County, Texas",1438,5,347.70514603616135
"48113019212","Census Tract 192.12, Dallas County, Texas",3044,5,164.257555847569
"48113019301","Census Tract 193.01, Dallas County, Texas",3098,5,161.39444803098775
"48113019600","Census Tract 196, Dallas County, Texas",2369,5,211.05951878429718
"48113020401","Census Tract 204.01, Dallas County, Texas",2225,5,224.71910112359552
