County_Name,One_Year_File_Name,Five_Year_File_Name,Surface_ID,Surface_Station,Surface_Station_ID,Surface_Station_Latitude,Surface_Station_Longitude,Surface_Station_Elevation_meters,Surface_Station_Anemometer_Height_meters,Upper_Air_ID,Upper_Air,Upper_Air_Station_ID,Upper_Air_Station_Latitude,Upper_Air_Station_Longitude,Upper_Air_Station_Elevation_meters,Albedo,Bowen_Ratio,Empty,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022
Anderson,anderson1y.zip,anderson5y.zip,CRS,CORSICANA CAMPBELL FLD,53912,32.031,-96.399,136,10.06,SHV,Shreveport,13957,32.45,-93.83,84,0.2,0.37,NA,,X,X,X,X,X,NA
Andrews,andrews1y.zip,andrews5y.zip,MAF,MIDLAND INTL AP,23023,31.948,-102.209,872.3,7.92,MAF,Midland,23023,31.93,-102.2,873,0.29,1.58,NA,,X,X,X,X,X,NA
Angelina,angelina1y.zip,angelina5y.zip,LFK,LUFKIN ANGELINA CO AP,93987,31.236,-94.754,96.3,7.92,SHV,Shreveport,13957,32.45,-93.83,84,0.18,0.37,NA,,X,X,X,X,X,NA
Aransas,aransas1y.zip,aransas5y.zip,RKP,ROCKPORT ARANSAS CO AP,12972,28.084,-97.046,5.8,10.06,CRP,Corpus Christi,12924,27.77,-97.5,14,0.26,0.85,NA,,X,X,X,X,X,NA
Archer,archer1y.zip,archer5y.zip,SPS,WICHITA FALLS MUNI AP,13966,33.979,-98.493,313.9,10.06,FWD,Fort Worth,3990,32.8,-97.3,196,0.28,0.66,NA,,X,X,X,X,X,NA
Armstrong,armstrong1y.zip,armstrong5y.zip,AMA,AMARILLO INTL AP,23047,35.23,-101.704,1098.5,10.06,AMA,Amarillo,23047,35.23,-101.7,1095,0.29,1.5,NA,,X,X,X,X,X,NA
Atascosa,atascosa1y.zip,atascosa5y.zip,HDO,HONDO MUNI AP,12962,29.367,-99.167,283,10.06,CRP,Corpus Christi,12924,27.77,-97.5,14,0.29,0.86,NA,,X,X,X,X,X,NA
Austin,austin1y.zip,austin5y.zip,CLL,COLLEGE STN,3904,30.589,-96.365,100,7.92,CRP,Corpus Christi,12924,27.77,-97.5,14,0.27,0.6,NA,,X,X,X,X,X,NA
Bailey,bailey1y.zip,bailey5y.zip,DHT,DALHART MUNI AP,93042,36.02,-102.55,1216,10.06,AMA,Amarillo,23047,35.23,-101.7,1095,0.28,1.5,NA,,X,X,X,X,X,NA
Bandera,bandera1y.zip,bandera5y.zip,HDO,HONDO MUNI AP,12962,29.367,-99.167,283,10.06,CRP,Corpus Christi,12924,27.77,-97.5,14,0.18,0.8,NA,,X,X,X,X,X,NA
Bastrop,bastrop1y.zip,bastrop5y.zip,AUS,AUSTIN BERGSTROM AP,13904,30.183,-97.68,150.9,10.06,FWD,Fort Worth,3990,32.8,-97.3,196,0.23,0.6,NA,,X,X,X,X,X,NA
